op,key,latency_ms,stale,version
read,key0012,6.00,false,0
read,key0001,8.00,false,2
read,key0009,8.00,false,6
read,key0000,8.00,false,0
read,key0001,8.00,false,2
read,key0019,3.00,false,2
read,key0016,4.00,false,2
read,key0006,2.00,false,2
write,key0010,835.00,false,5
write,key0018,841.00,false,3
write,key0013,834.00,false,6
write,key0008,832.00,false,5
write,key0014,829.00,false,3
write,key0019,825.00,false,3
write,key0001,840.00,false,3
write,key0017,835.00,false,3
write,key0009,833.00,false,7
write,key0012,842.00,false,1
read,key0002,2.00,false,2
read,key0001,2.00,false,3
read,key0002,2.00,false,2
write,key0011,815.00,false,4
write,key0009,815.00,false,8
write,key0002,814.00,false,3
write,key0001,815.00,false,5
write,key0011,806.00,false,4
write,key0019,815.00,false,5
write,key0001,814.00,false,5
write,key0012,815.00,false,2
write,key0019,815.00,false,5
read,key0002,2.00,false,3
read,key0003,3.00,false,8
read,key0008,3.00,false,5
read,key0017,3.00,false,3
read,key0000,3.00,false,0
read,key0002,2.00,false,3
read,key0013,2.00,false,6
write,key0014,815.00,false,4
read,key0011,2.00,false,4
read,key0019,2.00,false,6
read,key0004,3.00,false,1
read,key0003,1.00,false,9
read,key0006,0.00,false,2
read,key0006,0.00,false,2
read,key0017,2.00,false,4
read,key0007,0.00,false,2
read,key0000,0.00,false,0
read,key0005,0.00,false,1
read,key0006,2.00,false,2
read,key0003,0.00,false,9
write,key0000,816.00,false,1
write,key0017,813.00,false,4
write,key0016,816.00,false,3
write,key0014,813.00,false,5
write,key0018,816.00,false,6
write,key0012,816.00,false,3
write,key0018,805.00,false,6
write,key0002,813.00,false,4
read,key0009,2.00,false,8
read,key0014,2.00,false,5
read,key0003,2.00,false,8
read,key0004,3.00,false,1
write,key0005,807.00,false,2
read,key0009,1.00,false,8
write,key0018,804.00,false,6
read,key0006,1.00,false,2
read,key0011,2.00,false,4
read,key0002,2.00,false,4
read,key0003,2.00,false,8
read,key0007,8.00,false,2
read,key0008,0.00,false,5
read,key0000,0.00,false,1
write,key0019,812.00,false,8
write,key0010,805.00,false,7
write,key0017,812.00,false,5
write,key0001,808.00,false,7
write,key0005,808.00,false,3
write,key0000,812.00,false,2
write,key0019,811.00,false,7
write,key0015,807.00,false,2
write,key0007,809.00,false,3
write,key0010,803.00,false,7
read,key0013,5.00,false,6
read,key0007,5.00,false,3
read,key0009,5.00,false,8
read,key0017,6.00,false,5
read,key0001,6.00,false,7
read,key0019,1.00,true,7
read,key0002,2.00,false,4
read,key0001,1.00,false,7
read,key0019,1.00,true,7
read,key0010,0.00,false,7
read,key0013,0.00,false,6
write,key0018,804.00,false,7
write,key0008,809.00,false,7
write,key0015,810.00,false,3
read,key0014,0.00,false,5
read,key0003,0.00,false,10
write,key0016,810.00,false,4
write,key0008,810.00,false,7
read,key0014,0.00,false,5
write,key0002,808.00,false,5
read,key0017,1.00,false,5
read,key0003,0.00,false,10
read,key0009,0.00,false,8
write,key0011,804.00,false,6
write,key0000,804.00,false,3
read,key0005,0.00,false,4
write,key0003,805.00,false,10
write,key0005,808.00,false,4
read,key0012,0.00,false,3
read,key0012,0.00,false,3
read,key0019,0.00,false,8
write,key0011,816.00,false,7
write,key0010,815.00,false,9
write,key0019,814.00,false,9
write,key0011,811.00,false,7
write,key0010,813.00,false,9
write,key0015,812.00,false,4
write,key0013,815.00,false,7
write,key0019,816.00,false,10
write,key0014,810.00,false,6
write,key0007,811.00,false,4
read,key0019,1.00,false,10
read,key0000,1.00,false,3
read,key0010,1.00,false,10
read,key0005,1.00,false,4
read,key0005,1.00,false,4
read,key0004,1.00,false,1
read,key0010,1.00,false,10
read,key0019,1.00,false,10
read,key0008,1.00,false,7
read,key0009,1.00,false,8
read,key0006,1.00,false,2
read,key0007,2.00,false,4
read,key0000,0.00,false,3
write,key0005,812.00,false,5
write,key0013,812.00,false,8
write,key0017,809.00,false,6
read,key0002,1.00,false,5
read,key0012,1.00,false,4
