op,key,latency_ms,stale,version,timestamp_ms
read,key0000,68.00,false,17,1775421976291
write,key0007,416.00,false,20,1775421976639
write,key0004,416.00,false,19,1775421976640
write,key0001,416.00,false,13,1775421976639
write,key0009,416.00,false,18,1775421976639
write,key0003,416.00,false,16,1775421976639
write,key0011,416.00,false,19,1775421976640
write,key0007,416.00,false,20,1775421976640
write,key0017,416.00,false,13,1775421976639
write,key0001,416.00,false,13,1775421976639
read,key0005,59.00,false,17,1775421976758
write,key0005,409.00,false,17,1775421976700
write,key0011,412.00,false,22,1775421977111
write,key0001,412.00,false,14,1775421977111
write,key0003,413.00,false,17,1775421977112
write,key0019,412.00,false,16,1775421977111
write,key0008,413.00,false,21,1775421977112
write,key0012,413.00,false,23,1775421977111
write,key0011,413.00,false,22,1775421977112
write,key0009,413.00,false,19,1775421977112
write,key0019,401.00,false,16,1775421977161
write,key0012,402.00,false,23,1775421977160
write,key0005,403.00,false,18,1775421977569
write,key0016,403.00,false,18,1775421977569
write,key0011,405.00,false,23,1775421977573
write,key0006,405.00,false,13,1775421977573
write,key0014,404.00,false,18,1775421977572
write,key0006,404.00,false,13,1775421977572
write,key0017,404.00,false,14,1775421977572
write,key0019,404.00,false,17,1775421977572
write,key0002,402.00,false,18,1775421977620
write,key0007,402.00,false,21,1775421977620
read,key0002,52.00,false,18,1775421977678
write,key0006,402.00,false,14,1775421978024
write,key0007,402.00,false,22,1775421978024
write,key0010,401.00,false,15,1775421978028
write,key0004,401.00,false,20,1775421978028
write,key0013,401.00,false,11,1775421978028
write,key0001,402.00,false,15,1775421978028
write,key0000,403.00,false,18,1775421978030
write,key0012,402.00,false,24,1775421978075
write,key0017,402.00,false,15,1775421978075
write,key0010,400.00,false,15,1775421978079
write,key0011,402.00,false,24,1775421978483
write,key0002,407.00,false,19,1775421978483
write,key0001,402.00,false,16,1775421978485
write,key0014,402.00,false,21,1775421978483
write,key0000,407.00,false,20,1775421978483
write,key0000,404.00,false,20,1775421978484
write,key0010,403.00,false,16,1775421978484
write,key0015,407.00,false,18,1775421978537
write,key0014,405.00,false,21,1775421978537
write,key0014,407.00,false,21,1775421978537
read,key0000,56.00,false,21,1775421978598
write,key0011,402.00,false,25,1775421978942
write,key0000,402.00,false,21,1775421978941
write,key0007,407.00,false,23,1775421978948
write,key0006,408.00,false,15,1775421978948
write,key0016,407.00,false,19,1775421978948
write,key0003,407.00,false,19,1775421978949
read,key0017,51.00,false,15,1775421979047
write,key0015,402.00,false,20,1775421978998
write,key0003,402.00,false,19,1775421978997
write,key0014,402.00,false,24,1775421979000
write,key0014,405.00,false,24,1775421979001
read,key0016,55.00,false,19,1775421979102
write,key0015,409.00,false,21,1775421979405
write,key0015,402.00,false,21,1775421979409
write,key0010,402.00,false,17,1775421979409
