op,key,latency_ms,stale,version
read,key0005,9.00,false,17
read,key0012,9.00,false,15
read,key0009,9.00,false,14
read,key0011,9.00,false,11
read,key0006,10.00,false,17
write,key0016,10.00,false,16
write,key0011,8.00,false,12
write,key0004,9.00,false,14
write,key0010,9.00,false,21
write,key0002,1.00,false,15
write,key0005,11.00,false,18
write,key0001,2.00,false,16
write,key0007,3.00,false,13
write,key0014,1.00,false,20
write,key0004,2.00,false,15
read,key0018,0.00,false,25
write,key0004,0.00,false,16
write,key0002,0.00,false,16
write,key0016,0.00,false,17
write,key0004,3.00,false,17
write,key0017,0.00,false,24
write,key0000,0.00,false,18
write,key0004,1.00,false,18
write,key0008,0.00,false,12
write,key0014,1.00,false,21
write,key0012,1.00,false,16
write,key0015,0.00,false,10
write,key0004,0.00,false,19
write,key0014,0.00,false,22
write,key0008,0.00,false,13
write,key0002,0.00,false,17
write,key0014,0.00,false,23
write,key0008,0.00,false,14
write,key0009,0.00,false,15
write,key0007,0.00,false,14
write,key0014,0.00,false,24
read,key0005,0.00,false,18
write,key0012,0.00,false,17
write,key0013,0.00,false,14
write,key0015,0.00,false,11
write,key0019,0.00,false,14
write,key0018,0.00,false,27
write,key0018,0.00,false,27
write,key0001,0.00,false,17
write,key0000,0.00,false,19
write,key0003,0.00,false,17
write,key0009,0.00,false,16
read,key0010,52.00,false,21
write,key0014,0.00,false,25
write,key0006,0.00,false,18
read,key0017,1.00,true,22
read,key0009,0.00,false,16
write,key0001,0.00,false,18
write,key0019,0.00,false,15
write,key0009,0.00,false,17
write,key0011,0.00,false,13
write,key0003,0.00,false,18
write,key0007,0.00,false,15
write,key0015,0.00,false,12
write,key0013,0.00,false,15
write,key0014,0.00,false,26
read,key0001,0.00,true,16
read,key0002,0.00,false,18
write,key0001,0.00,false,19
write,key0009,0.00,false,18
write,key0019,0.00,false,17
write,key0019,0.00,false,17
write,key0007,0.00,false,16
write,key0002,0.00,false,18
write,key0003,0.00,false,19
read,key0003,53.00,true,18
write,key0016,0.00,false,18
write,key0008,0.00,false,15
write,key0006,1.00,false,19
write,key0002,1.00,false,19
write,key0003,1.00,false,21
write,key0003,1.00,false,21
write,key0008,2.00,false,17
write,key0000,1.00,false,20
write,key0008,3.00,false,17
write,key0016,3.00,false,19
write,key0004,0.00,false,20
write,key0019,0.00,false,18
write,key0008,0.00,false,18
write,key0019,0.00,false,19
write,key0000,0.00,false,22
write,key0000,0.00,false,22
write,key0010,0.00,false,22
write,key0005,0.00,false,19
write,key0018,0.00,false,28
write,key0011,0.00,false,14
write,key0005,0.00,false,20
write,key0002,0.00,false,20
read,key0019,51.00,false,19
write,key0017,0.00,false,25
write,key0017,0.00,false,26
write,key0009,0.00,false,19
write,key0011,0.00,false,15
write,key0006,0.00,false,20
write,key0000,0.00,false,23
write,key0003,0.00,false,22
read,key0015,3.00,true,9
write,key0009,0.00,false,20
write,key0010,0.00,false,23
write,key0003,0.00,false,23
write,key0012,1.00,false,18
write,key0006,2.00,false,21
write,key0002,1.00,false,21
write,key0014,1.00,false,27
read,key0019,0.00,true,13
read,key0019,1.00,true,13
write,key0019,1.00,false,20
write,key0004,1.00,false,21
write,key0012,1.00,false,19
write,key0009,0.00,false,21
write,key0012,0.00,false,20
write,key0016,0.00,false,20
write,key0013,0.00,false,16
write,key0006,0.00,false,22
write,key0011,0.00,false,16
write,key0014,0.00,false,29
write,key0014,0.00,false,29
write,key0009,2.00,false,22
write,key0000,0.00,false,24
read,key0012,0.00,true,15
write,key0006,0.00,false,23
write,key0018,0.00,false,29
write,key0016,0.00,false,21
read,key0018,54.00,false,29
write,key0010,0.00,false,24
write,key0018,0.00,false,30
write,key0008,1.00,false,19
write,key0013,0.00,false,17
write,key0004,0.00,false,22
write,key0005,0.00,false,21
read,key0011,1.00,false,16
write,key0009,1.00,false,23
write,key0016,1.00,false,22
write,key0007,0.00,false,17
write,key0011,5.00,false,17
write,key0000,9.00,false,26
write,key0003,4.00,false,24
read,key0011,0.00,true,12
write,key0002,1.00,false,22
write,key0000,8.00,false,26
write,key0016,4.00,false,23
write,key0008,7.00,false,20
write,key0007,0.00,false,18
write,key0018,0.00,false,31
write,key0008,0.00,false,21
write,key0005,0.00,false,22
write,key0016,0.00,false,24
write,key0000,1.00,false,27
write,key0014,1.00,false,30
write,key0016,0.00,false,26
write,key0016,0.00,false,26
write,key0002,0.00,false,23
write,key0018,4.00,false,32
write,key0019,5.00,false,21
write,key0006,4.00,false,24
write,key0010,0.00,false,26
write,key0010,0.00,false,26
write,key0003,0.00,false,25
write,key0009,0.00,false,24
read,key0018,0.00,true,29
read,key0009,0.00,true,21
write,key0016,0.00,false,27
write,key0005,0.00,false,23
write,key0005,0.00,false,24
write,key0004,0.00,false,23
write,key0019,0.00,false,22
write,key0001,0.00,false,20
write,key0008,0.00,false,22
