Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,461181,0,16,21.35795266695282,11.089666979387403,4007.463291985914,16.0,1540.9295796563479,0.0,16,17,18,18,22,54,95,130,200,370,4000
GET,/products/search?q=alpha,46148,0,16,21.427799190827447,11.914166971109807,404.1823750594631,1489.936746987952,154.1928618958308,0.0,16,17,18,18,23,53,95,120,200,350,400
GET,/products/search?q=beta,46577,0,16,21.523248576144322,11.863291030749679,3617.353207897395,1445.9326491616034,155.62626611168653,0.0,16,17,18,18,22,54,95,130,200,380,3600
GET,/products/search?q=books,46113,0,16,21.558492588355897,11.820666957646608,3870.40245893877,1445.9381519311257,154.0759174959358,0.0,16,17,18,18,23,55,95,130,200,350,3900
GET,/products/search?q=clothing,46495,0,16,21.494817972241417,11.755708954297006,3871.488958946429,1485.9311538875147,155.35228208907543,0.0,16,17,18,18,23,55,93,120,200,390,3900
GET,/products/search?q=delta,45941,0,16,21.477581693987737,11.702166986651719,3617.172709084116,1385.935917807623,153.50121930216613,0.0,16,17,18,18,23,54,94,120,200,370,3600
GET,/products/search?q=electronics,46615,0,16,21.411699891738913,11.767624993808568,407.84658398479223,1489.9372948621688,155.75323431728683,0.0,16,17,18,18,23,53,95,120,200,340,410
GET,/products/search?q=gamma,46665,0,16,21.656679329350588,11.768999975174665,3865.7682499615476,1435.932819029251,155.92029774570824,0.0,16,17,18,18,23,54,94,120,200,350,3900
GET,/products/search?q=home,46433,0,16,21.558828500677713,11.88758306670934,3904.9167920602486,1435.9378890013568,155.14512343783286,0.0,16,17,18,18,23,53,94,120,200,380,3900
GET,/products/search?q=product,46501,0,17,21.621615576080707,12.12345901876688,3616.937584010884,2780.9376787595966,155.372329700486,0.0,17,17,18,19,22,52,95,130,210,390,3600
GET,/products/search?q=sports,46344,0,16,21.894394079909627,11.484374990686774,3869.218916981481,1385.9343388572415,154.84775053524274,0.0,16,17,18,18,23,55,95,120,200,3600,3900
,Aggregated,925013,0,16,21.46057111209112,11.089666979387403,4007.463291985914,799.5586645809302,3090.7168622875993,0.0,16,17,18,18,23,54,95,130,200,380,4000
